"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"181",277,204731,1017.67,NA,NA,"linear",-8.05,0.1
"182",277,204731,949.5,152.5,333.7,"sisal: Bchron",-8.05,0.1
"183",277,204732,1018.45,NA,NA,"linear",-8.02,0.1
"184",277,204732,950.5,152.5,332.55,"sisal: Bchron",-8.02,0.1
"185",277,204733,1019.23,NA,NA,"linear",-7.92,0.1
"186",277,204733,951,152,329.05,"sisal: Bchron",-7.92,0.1
"187",277,204734,1020.01,NA,NA,"linear",-7.8,0.1
"188",277,204734,951.5,151.55,323.75,"sisal: Bchron",-7.8,0.1
"189",277,204735,1020.78,NA,NA,"linear",-7.72,0.1
"190",277,204735,952,152,320.35,"sisal: Bchron",-7.72,0.1
"191",277,204736,1021.56,NA,NA,"linear",-7.68,0.1
"192",277,204736,952,152,316.4,"sisal: Bchron",-7.68,0.1
"193",277,204737,1022.34,NA,NA,"linear",-7.64,0.1
"194",277,204737,953,151.05,313.25,"sisal: Bchron",-7.64,0.1
"195",277,204738,1023.11,NA,NA,"linear",-7.63,0.1
"196",277,204738,954.5,150.5,310.65,"sisal: Bchron",-7.63,0.1
"197",277,204739,1023.89,NA,NA,"linear",-7.63,0.1
"198",277,204739,955.5,149.5,307.5,"sisal: Bchron",-7.63,0.1
"199",277,204740,1024.67,NA,NA,"linear",-7.66,0.1
"200",277,204740,956,149.05,301.15,"sisal: Bchron",-7.66,0.1
"201",277,204741,1025.45,NA,NA,"linear",-7.59,0.1
"202",277,204741,957.5,148.5,295.75,"sisal: Bchron",-7.59,0.1
"203",277,204742,1026.24,NA,NA,"linear",-7.51,0.1
"204",277,204742,958,148,292.1,"sisal: Bchron",-7.51,0.1
"205",277,204743,1027.02,NA,NA,"linear",-7.46,0.1
"206",277,204743,960,146,290.2,"sisal: Bchron",-7.46,0.1
"207",277,204744,1027.81,NA,NA,"linear",-7.58,0.1
"208",277,204744,961,146,289.2,"sisal: Bchron",-7.58,0.1
"209",277,204745,1028.6,NA,NA,"linear",-7.78,0.1
"210",277,204745,961.5,145.5,287.7,"sisal: Bchron",-7.78,0.1
"211",277,204746,1029.38,NA,NA,"linear",-7.83,0.1
"212",277,204746,963,144,285.05,"sisal: Bchron",-7.83,0.1
"213",277,204747,1030.17,NA,NA,"linear",-7.91,0.1
"214",277,204747,964,143.05,277.15,"sisal: Bchron",-7.91,0.1
"215",277,204748,1030.95,NA,NA,"linear",-8.01,0.1
"216",277,204748,965,143,270.1,"sisal: Bchron",-8.01,0.1
"217",277,204749,1031.74,NA,NA,"linear",-8.12,0.1
"218",277,204749,965.5,142.5,264.75,"sisal: Bchron",-8.12,0.1
"219",277,204750,1032.52,NA,NA,"linear",-8.21,0.1
"220",277,204750,966,142.05,261.2,"sisal: Bchron",-8.21,0.1
"221",277,204751,1033.31,NA,NA,"linear",-8.31,0.1
"222",277,204751,967,142,258,"sisal: Bchron",-8.31,0.1
"223",277,204752,1034.09,NA,NA,"linear",-8.31,0.1
"224",277,204752,968,142,251.2,"sisal: Bchron",-8.31,0.1
"225",277,204753,1034.88,NA,NA,"linear",-8.33,0.1
"226",277,204753,969,141.05,244.4,"sisal: Bchron",-8.33,0.1
"227",277,204754,1035.66,NA,NA,"linear",-8.4,0.1
"228",277,204754,970,141,237.6,"sisal: Bchron",-8.4,0.1
"229",277,204755,1036.45,NA,NA,"linear",-8.57,0.1
"230",277,204755,970,141.05,229.7,"sisal: Bchron",-8.57,0.1
"231",277,204756,1037.24,NA,NA,"linear",-8.59,0.1
"232",277,204756,971,141,228.3,"sisal: Bchron",-8.59,0.1
"233",277,204757,1038.02,NA,NA,"linear",-8.52,0.1
"234",277,204757,972,141,226.05,"sisal: Bchron",-8.52,0.1
"235",277,204758,1038.81,NA,NA,"linear",-8.59,0.1
