"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"146",277,204786,1060.8,NA,NA,"linear",-7.73,0.1
"147",277,204787,1061.58,NA,NA,"linear",-8.21,0.1
"148",277,204788,1062.37,NA,NA,"linear",-8.54,0.1
"149",277,204789,1063.15,NA,NA,"linear",-8.77,0.1
"150",277,204790,1063.94,NA,NA,"linear",-8.95,0.1
"151",277,204791,1064.73,NA,NA,"linear",-9.04,0.1
"152",277,204792,1065.51,NA,NA,"linear",-9.09,0.1
"153",277,204793,1066.3,NA,NA,"linear",-8.87,0.1
"154",277,204794,1067.08,NA,NA,"linear",-8.71,0.1
"155",277,204795,1067.87,NA,NA,"linear",-8.62,0.1
"156",277,204796,1068.65,NA,NA,"linear",-8.49,0.1
"157",277,204797,1069.44,NA,NA,"linear",-8.31,0.1
"158",277,204798,1070.22,NA,NA,"linear",-8.11,0.1
"159",277,204799,1071.01,NA,NA,"linear",-8.1,0.1
"160",277,204800,1071.79,NA,NA,"linear",-8.1,0.1
"161",277,204801,1072.58,NA,NA,"linear",-8.23,0.1
"162",277,204802,1073.36,NA,NA,"linear",-8.18,0.1
"163",277,204803,1074.15,NA,NA,"linear",-8.12,0.1
"164",277,204804,1074.94,NA,NA,"linear",-7.99,0.1
"165",277,204805,1075.72,NA,NA,"linear",-8.07,0.1
"166",277,204806,1076.51,NA,NA,"linear",-8.08,0.1
"167",277,204807,1077.29,NA,NA,"linear",-8.08,0.1
"168",277,204808,1078.08,NA,NA,"linear",-7.87,0.1
"169",277,204809,1078.86,NA,NA,"linear",-7.68,0.1
"170",277,204810,1079.65,NA,NA,"linear",-7.6,0.1
"171",277,204811,1080.43,NA,NA,"linear",-7.78,0.1
"172",277,204812,1081.22,NA,NA,"linear",-8.01,0.1
"173",277,204813,1082,NA,NA,"linear",-8.07,0.1
"174",277,204814,1082.79,NA,NA,"linear",-7.89,0.1
"175",277,204815,1083.58,NA,NA,"linear",-7.97,0.1
"176",277,204816,1084.36,NA,NA,"linear",-8.16,0.1
"177",277,204817,1085.15,NA,NA,"linear",-8.42,0.1
"178",277,204818,1085.93,NA,NA,"linear",-8.4,0.1
"179",277,204819,1086.72,NA,NA,"linear",-8.29,0.1
"180",277,204820,1087.5,NA,NA,"linear",-8.15,0.1
"181",277,204821,1088.29,NA,NA,"linear",-8,0.1
"182",277,204822,1089.07,NA,NA,"linear",-7.89,0.1
"183",277,204823,1089.86,NA,NA,"linear",-7.78,0.1
"184",277,204824,1090.64,NA,NA,"linear",-8.08,0.1
"185",277,204825,1091.43,NA,NA,"linear",-8.34,0.1
"186",277,204826,1092.22,NA,NA,"linear",-8.83,0.1
"187",277,204827,1093,NA,NA,"linear",-9.2,0.1
"188",277,204828,1093.79,NA,NA,"linear",-9.43,0.1
"189",277,204829,1094.57,NA,NA,"linear",-9.32,0.1
"190",277,204830,1095.36,NA,NA,"linear",-9.01,0.1
"191",277,204831,1096.14,NA,NA,"linear",-8.91,0.1
"192",277,204832,1096.93,NA,NA,"linear",-9.14,0.1
"193",277,204833,1097.71,NA,NA,"linear",-9.52,0.1
"194",277,204834,1098.5,NA,NA,"linear",-9.55,0.1
"195",277,204835,1099.28,NA,NA,"linear",-9.41,0.1
"196",277,204836,1100.07,NA,NA,"linear",-9.14,0.1
"197",277,204837,1100.85,NA,NA,"linear",-9,0.1
"198",277,204838,1101.64,NA,NA,"linear",-8.87,0.1
"199",277,204839,1102.43,NA,NA,"linear",-8.74,0.1
"200",277,204840,1103.21,NA,NA,"linear",-8.49,0.1
"201",277,204841,1104,NA,NA,"linear",-8.11,0.1
"202",277,204842,1104.78,NA,NA,"linear",-7.82,0.1
"203",277,204843,1105.57,NA,NA,"linear",-7.72,0.1
"204",277,204844,1106.35,NA,NA,"linear",-7.83,0.1
"205",277,204845,1107.14,NA,NA,"linear",-7.98,0.1
"206",277,204846,1107.92,NA,NA,"linear",-8.17,0.1
"207",277,204847,1108.71,NA,NA,"linear",-8.27,0.1
"208",277,204848,1109.49,NA,NA,"linear",-8.37,0.1
"209",277,204849,1114.84,NA,NA,"linear",-8.69,0.1
"210",277,204850,1115.44,NA,NA,"linear",-8.62,0.1
"211",277,204851,1116.04,NA,NA,"linear",-8.61,0.1
"212",277,204852,1116.64,NA,NA,"linear",-8.5,0.1
"213",277,204853,1117.24,NA,NA,"linear",-8.5,0.1
"214",277,204854,1117.84,NA,NA,"linear",-8.47,0.1
"215",277,204855,1118.45,NA,NA,"linear",-8.49,0.1
"216",277,204856,1119.05,NA,NA,"linear",-8.52,0.1
"217",277,204857,1119.65,NA,NA,"linear",-8.52,0.1
"218",277,204858,1120.25,NA,NA,"linear",-8.46,0.1
"219",277,204859,1120.85,NA,NA,"linear",-8.41,0.1
"220",277,204860,1121.45,NA,NA,"linear",-8.37,0.1
"221",277,204861,1122.06,NA,NA,"linear",-8.39,0.1
"222",277,204862,1122.66,NA,NA,"linear",-8.38,0.1
"223",277,204863,1123.26,NA,NA,"linear",-8.36,0.1
"224",277,204864,1123.86,NA,NA,"linear",-8.29,0.1
"225",277,204865,1124.46,NA,NA,"linear",-8.29,0.1
"226",277,204866,1125.06,NA,NA,"linear",-8.25,0.1
"227",277,204867,1125.67,NA,NA,"linear",-8.26,0.1
"228",277,204868,1126.27,NA,NA,"linear",-8.26,0.1
"229",277,204869,1126.87,NA,NA,"linear",-8.25,0.1
"230",277,204870,1127.47,NA,NA,"linear",-8.23,0.1
"231",277,204871,1128.07,NA,NA,"linear",-8.3,0.1
"232",277,204872,1128.67,NA,NA,"linear",-8.4,0.1
"233",277,204873,1129.27,NA,NA,"linear",-8.34,0.1
"234",277,204874,1129.88,NA,NA,"linear",-8.32,0.1
"235",277,204875,1130.48,NA,NA,"linear",-8.32,0.1
"236",277,204876,1131.08,NA,NA,"linear",-8.39,0.1
"237",277,204877,1131.68,NA,NA,"linear",-8.45,0.1
"238",277,204878,1132.28,NA,NA,"linear",-8.48,0.1
"239",277,204879,1132.88,NA,NA,"linear",-8.55,0.1
"240",277,204880,1133.49,NA,NA,"linear",-8.51,0.1
"241",277,204881,1134.09,NA,NA,"linear",-8.49,0.1
"242",277,204882,1134.69,NA,NA,"linear",-8.5,0.1
"243",277,204883,1135.29,NA,NA,"linear",-8.39,0.1
"244",277,204884,1135.89,NA,NA,"linear",-8.29,0.1
"245",277,204885,1136.49,NA,NA,"linear",-8.15,0.1
"246",277,204886,1137.1,NA,NA,"linear",-8.13,0.1
"247",277,204887,1137.7,NA,NA,"linear",-8.1,0.1
"248",277,204888,1138.3,NA,NA,"linear",-8.19,0.1
"249",277,204889,1138.9,NA,NA,"linear",-8.2,0.1
"250",277,204890,1139.5,NA,NA,"linear",-8.25,0.1
"251",277,204891,1140.1,NA,NA,"linear",-8.19,0.1
"252",277,204892,1140.7,NA,NA,"linear",-8.06,0.1
"253",277,204893,1141.31,NA,NA,"linear",-8.06,0.1
"254",277,204894,1141.91,NA,NA,"linear",-8,0.1
"255",277,204895,1142.51,NA,NA,"linear",-7.97,0.1
"256",277,204896,1143.11,NA,NA,"linear",-7.72,0.1
"257",277,204897,1143.71,NA,NA,"linear",-7.56,0.1
"258",277,204898,1144.31,NA,NA,"linear",-7.56,0.1
"259",277,204899,1144.92,NA,NA,"linear",-7.73,0.1
"260",277,204900,1145.52,NA,NA,"linear",-7.81,0.1
"261",277,204901,1146.12,NA,NA,"linear",-7.75,0.1
"262",277,204902,1146.72,NA,NA,"linear",-7.5,0.1
"263",277,204903,1147.32,NA,NA,"linear",-7.33,0.1
"264",277,204904,1147.92,NA,NA,"linear",-7.38,0.1
"265",277,204905,1148.52,NA,NA,"linear",-7.6,0.1
"266",277,204906,1149.13,NA,NA,"linear",-7.82,0.1
"267",277,204907,1149.73,NA,NA,"linear",-7.93,0.1
"268",277,204908,1150.33,NA,NA,"linear",-8.18,0.1
"269",277,204909,1150.93,NA,NA,"linear",-8.31,0.1
"270",277,204910,1151.53,NA,NA,"linear",-8.51,0.1
"271",277,204911,1152.13,NA,NA,"linear",-8.55,0.1
"272",277,204912,1152.74,NA,NA,"linear",-8.6,0.1
"273",277,204913,1153.34,NA,NA,"linear",-8.59,0.1
"274",277,204914,1153.94,NA,NA,"linear",-8.5,0.1
"275",277,204915,1154.54,NA,NA,"linear",-8.51,0.1
"276",277,204916,1155.14,NA,NA,"linear",-8.58,0.1
"277",277,204917,1155.74,NA,NA,"linear",-8.61,0.1
"278",277,204918,1156.35,NA,NA,"linear",-8.47,0.1
